,Year,Defender,Opponent,Points_Against,Opponent_FG%
356,2013-14,CJ McCollum,Giannis Antetokounmpo,4.0,0.333
357,2013-14,Will Barton,Giannis Antetokounmpo,4.0,0.333
358,2013-14,Victor Claver,Giannis Antetokounmpo,4.0,0.333
359,2013-14,Allen Crabbe,Giannis Antetokounmpo,4.0,0.333
360,2013-14,Earl Watson,Giannis Antetokounmpo,4.0,0.333
361,2013-14,Michael Kidd-Gilchrist,Giannis Antetokounmpo,2.0,0.0
362,2013-14,Josh McRoberts,Giannis Antetokounmpo,2.0,0.0
363,2013-14,Al Jefferson,Giannis Antetokounmpo,2.0,0.0
364,2013-14,Gerald Henderson,Giannis Antetokounmpo,2.0,0.0
365,2013-14,Kemba Walker,Giannis Antetokounmpo,2.0,0.0
366,2013-14,Cody Zeller,Giannis Antetokounmpo,2.0,0.0
367,2013-14,Gary Neal,Giannis Antetokounmpo,2.0,0.0
368,2013-14,Chris Douglas-Roberts,Giannis Antetokounmpo,2.0,0.0
369,2013-14,Luke Ridnour,Giannis Antetokounmpo,2.0,0.0
370,2013-14,Bismack Biyombo,Giannis Antetokounmpo,2.0,0.0
371,2013-14,Jannero Pargo,Giannis Antetokounmpo,2.0,0.0
372,2013-14,Anthony Tolliver,Giannis Antetokounmpo,2.0,0.0
373,2013-14,Khris Middleton,Giannis Antetokounmpo,2.0,0.0
374,2013-14,John Henson,Giannis Antetokounmpo,2.0,0.0
375,2013-14,Zaza Pachulia,Giannis Antetokounmpo,2.0,0.0
376,2013-14,Nate Wolters,Giannis Antetokounmpo,2.0,0.0
377,2013-14,Brandon Knight,Giannis Antetokounmpo,2.0,0.0
378,2013-14,Jeff Adrien,Giannis Antetokounmpo,2.0,0.0
